ZIP,ALand
72120,3249399
72076,61891730
72206,27221993
72206,81197670
71901,193095025
72209,5444492
72223,177667700
72223,20841173
72223,5099047
72210,50338617
72113,28289651
72206,2996811
72205,3206002
72444,647065116
72455,33133095
71913,2474504
72335,449464051
72335,15512656
72015,4852714
72022,8555022
72022,34880266
72022,29396336
72022,359239523
72022,16747203
72015,63263988
72675,807728080
72150,333471048
72904,6970287
72904,15366995
72904,2610886
72903,3410107
72901,3205332
72903,12720958
72903,5177946
72908,15645907
72936,336476715
72938,433908952
72450,11143424
71832,18822981
72542,91472250
72521,599669333
72560,431019814
72751,60184359
71762,82890464
71730,595038482
71730,14705830
71730,12187397
72031,104203028
72764,116515057
72104,34646678
72703,8175715
72764,8519878
72764,4866940
72762,107677855
72730,64783744
72762,19096571
72703,4559084
72730,99300584
72701,18526757
72764,1839485
72562,436856960
72121,359172996
72143,25107875
72143,12840125
72012,426711679
72012,126464873
72006,603822483
72834,451895458
72112,58671350
71601,3033900
71601,119468385
72830,35487256
72433,34349588
71822,147041746
72023,90724941
72086,179291735
72756,3902433
72687,742463134
71854,5893209
72315,619112710
72029,911549635
71701,551594765
72390,28800309
72472,14228472
72843,1058445600
72802,57677425
72205,3581301
72714,31450763
72212,5517361
72114,3587227
72118,3116328
72076,22249095
72120,4329829
72103,15820905
72223,10818446
72113,43710336
72455,980542145
72015,10666961
72734,118563666
72206,20370530
72958,1153467801
72904,2610886
72901,4370119
72042,133400347
72937,116170326
72680,862061496
71730,14705830
72701,8573722
72762,107677855
72703,5337807
72745,26438837
72020,349492389
72012,426711679
72833,1132505231
72160,60653145
72055,750199996
71646,212043380
71635,59015036
72653,21090534
72653,165526982
72626,111769887
72682,260692961
72751,60184359
72758,7988596
72756,4507812
72756,12668948
72712,4253798
72712,9405489
72714,13971402
72719,9836349
72736,264314385
72761,14934055
71744,745021840
72712,27426438
72758,8871812
72732,117357663
72756,160775012
72682,260692961
72601,16625365
71647,184722604
71744,882937563
72616,100473826
71640,1371775477
71640,193347121
71640,193347121
71923,39159532
72454,438156599
72422,38651553
96009,8901691
95514,6288255
91901,69370314
95076,7747643
95003,16657985
93420,15106782
95603,18529464
93304,385366784
95503,1895432
96008,57495927
93512,73770754
96011,14852516
94945,7322433
94924,15090533
92004,111554058
94513,38463708
93427,4097749
95965,47370530
92399,38481117
93428,22036535
95922,2211388
94923,742472
93455,488123
95421,18431244
91724,2403064
91710,76829663
94517,9946656
94520,371137
95713,3641506
90220,25973637
95076,23275301
91723,18203062
95971,23385107
94014,19788422
93215,37044413
93251,9274815
91765,38539601
95224,9398404
94568,39453265
92544,13467988
90221,2129017
93401,3158263
95939,3753632
90245,14149156
92026,96015101
93610,20035532
95476,3783771
96029,15012811
97635,8288093
95348,5226600
93730,3239536
95215,6693771
95020,41808104
95936,5309072
95387,577471
95947,20701558
95322,4017002
95688,16772049
95638,20406214
92346,48574930
92227,87750645
92648,69762694
95947,4770041
95640,11901656
91935,42950502
92509,111216400
95452,13381220
96161,2490333
92694,12539189
96020,7104824
96003,12160323
92536,18888597
93656,5227767
95076,13718837
93243,39701013
92311,5733125
93247,7077625
95334,9518115
95005,8738098
94040,16768400
93249,14378332
96056,2593485
93637,40893995
95502,1694566
95642,6049766
95971,22066143
95340,60156228
96113,13705685
93438,3183261
91016,35233831
95313,122388
92277,65316994
94553,750549
92411,8140238
96134,6233913
92860,35673942
94801,3647916
92344,63169978
93445,3967125
93283,29658339
95966,55884164
92260,69446779
90723,12248385
93292,3744548
94952,37250003
93930,8639261
93040,7302658
95062,1949108
94510,410058
96020,1561232
92065,99552934
96021,30144332
95470,7086877
95562,5907975
95684,947248
90717,9244326
94957,4030683
95816,253621861
91784,6197121
91773,38946890
92675,36867985
93451,4348735
95060,32997148
94903,9481991
95003,1985369
93292,1647669
96088,63570624
92342,13400119
96161,872116
90280,18741686
96123,8621924
94304,7073378
93257,3642431
96161,8761078
93268,766308
92384,48145645
93270,7046785
95421,14637533
95376,57348808
93274,52770665
92277,153179072
95224,22171596
91384,6644175
91702,3813316
91789,23290060
95076,17320714
90502,5868540
90047,4785352
95692,21035373
95573,78501427
93240,16577597
95965,15603918
92277,103639185
94708,1012219
95531,22901753
95538,91874516
96150,9413521
96150,4779638
96150,17251475
95614,164681146
95762,13426997
95762,7898800
93307,1933623
95682,4823496
95667,50593598
95667,20870878
95636,788931826
95667,26423036
96150,7926181
96150,185200390
93721,3403396
91107,2464480
93706,1970493
93311,3628738
93725,3401956
93725,1307805
93727,2509841
93625,51215832
93706,66565791
93728,1826004
93703,2446459
93702,1294128
93702,1300765
93727,1298390
93311,2683077
93727,1319413
93612,1593911
93703,1606186
93703,1917438
93704,1948191
93723,26665736
93722,4573634
93630,456643014
93705,5093624
93722,2259452
93307,2663486
93722,2518147
93711,3948464
93720,2509936
93710,2583355
93704,2577365
93721,1258504
93704,1707572
93726,2587727
93726,1940423
93710,1297000
93243,38431214
93710,1302012
93720,2595076
93611,2638723
93730,4242705
93619,21715865
93612,1342784
93611,2452835
93612,2660902
93611,2538818
93657,71055587
93312,2625793
93657,9651097
93657,7727989
93605,3881982484
93667,602041242
93646,14521583
93654,2400004
93648,37292531
93662,8007694
93631,34586228
93662,164109807
93263,1952873
93652,356819981
93624,523797951
93210,7764098
93640,34326358
93622,163319889
93648,11032698
95939,2543687353
95951,159003182
95501,3118704
95503,7021056
93250,9348876
95501,3322756
95503,64395335
95521,9583422
95570,623268581
95519,9626771
95540,111653816
95526,1048738443
95565,301387508
95546,364587558
92227,467605592
93283,915225871
92227,8650616
94606,706611
92250,16189619
92251,180074669
92243,128721904
92243,2047643
92243,1728129
92231,4903395
92273,2371638508
93514,817698012
93526,6774894635
93505,184103303
93308,1734856
93308,1518290
93308,3281609
93305,2710692
93306,1325489
93306,1270876
93307,46640125
93306,1242887
93305,1963270
93305,2352332
93561,1762868838
93309,2487330
93304,1711057
93307,1933623
93307,2390586
93304,2544245
93309,3141483
93309,1593248
93309,1658082
93311,2683077
93304,2676218
93307,10516284
93309,2990532
93304,1663268
93307,2663486
93313,3972596
93313,4078265
93243,38431214
93268,5460923
93312,4182720
93312,2594225
93263,33286247
93232,7811251
93280,95855076
93215,2538080
93250,6380404
93215,2646296
93308,189484464
93283,915225871
93555,285090603
93555,10338275
93527,717321128
93505,15614678
93230,395454317
93560,13606213
93561,8252163
93561,271516318
93203,15829037
93241,7640788
93505,2031989773
93245,66360248
93245,4496379
93232,2629834
93232,10472407
95453,98936991
93230,6846460
93232,9745964
93212,2958836
93204,788709886
95453,8428308
95423,297001119
95422,3254689
95451,184132672
96123,7516904817
96130,128206100
95453,146143358
96114,154771010
91042,650690
91042,6310054
91040,1241029
91040,2500753
91331,1096645
91342,2664512
91331,681117
91331,531171
91331,531802
96117,389798096
91342,1438283
91342,2085950
91342,2205882
91344,1577594
91342,792930
91326,2563867
91344,1233087
91345,2214559
91344,1586861
91344,1912806
91352,1658545
91326,2611197
91325,1552799
91311,998550
91304,1143944
91311,1048340
91306,1522529
91324,1366767
91325,1905159
91343,1813873
91343,1800594
91331,1096645
91343,544546
94707,1106644
91331,947373
91402,326387
91331,1236126
91402,537557
91402,376444
91352,1929812
91352,7457714
91605,485688
91605,2879762
91331,531002
91352,1704843
91606,900961
91606,757734
91605,488725
91401,1504231
91606,1290040
91601,649220
91606,972593
91401,961439
91423,1347604
91342,2010765
91601,1303249
91601,696294
91405,280065
91406,2157566
91406,644917
91411,614498
91401,648896
91411,413941
91401,1134338
91411,971146
90242,5708881
91406,1101835
91335,1107142
91335,1315590
91406,1600216
91335,1278601
91335,1184831
91303,740801
91303,1459395
91304,357583
